-------------------------------------------------------------------------------
--
-- Title      : List of local and global libraries visible in Library Manager
-- Active-HDL : StudentEdition 
-- Workspace  : FirstExample
-- Design     : MyDesign
-- Author     : p3
-- Company    : p3-Soft
-- Date       : 2015-03-08 10:44:23
--
-------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Library                | Mode  | Vendor     | Version                                          | Comment
lptm                   | RO    | LATTICE    | LATTICE Diamond 2.2                              | LPTM VHDL LIBRARY
lc5kb                  | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | LC5KB VHDL LIBRARY
lc5kve                 | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | LC5KVE VHDL LIBRARY
lc4k                   | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | LC4K VHDL LIBRARY
lc5kvg                 | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | LC5KVG VHDL LIBRARY
orca3                  | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | ORCA3 VHDL LIBRARY
lptm2                  | RO    | LATTICE    | LATTICE Diamond 2.2                              | LPTM2 VHDL LIBRARY
lscdr_aldec_work       | RO    | LATTICE    | LATTICE Diamond 2.2                              | LSCDR_ALDEC_WORK LIBRARY
machxo2                | RO    | LATTICE    | LATTICE Diamond 2.2                              | MACHXO2 VHDL LIBRARY
machxo                 | RO    | LATTICE    | LATTICE Diamond 2.2                              | MACHXO VHDL LIBRARY
mach                   | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | MACH VHDL LIBRARY
neoprims               | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | NEOPRIMS VHDL LIBRARY
orca2                  | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | ORCA2 VHDL LIBRARY
ort8850_work           | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | ORT8850_WORK LIBRARY
orspi4_work            | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | ORSPI4_WORK LIBRARY
orli10g_work           | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | ORLI10G_WORK LIBRARY
orca4                  | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | ORCA4 VHDL LIBRARY
orso82g5_work          | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | ORSO82G5_WORK LIBRARY
ort82g5_work           | RO    | LATTICE    | LATTICE ispLEVER Classic 1.7                     | ORT82G5_WORK LIBRARY
ovi_ecp                | RO    | LATTICE    | LATTICE Diamond 2.2                              | ECP VERILOG LIBRARY
ovi_ec                 | RO    | LATTICE    | LATTICE Diamond 2.2                              | EC VERILOG LIBRARY
ovi_ecp2               | RO    | LATTICE    | LATTICE Diamond 2.2                              | ECP2 VERILOG LIBRARY
ovi_machxo2            | RO    | LATTICE    | LATTICE Diamond 2.2                              | MACHXO2 VERILOG LIBRARY
ovi_ecp2m              | RO    | LATTICE    | LATTICE Diamond 2.2                              | ECP2 VERILOG LIBRARY
pcsa_work              | RO    | LATTICE    | LATTICE Diamond 2.2                              | PCSA_ALDEC_WORK LIBRARY
